lambda,coeff_feature_1,coeff_feature_2,coeff_feature_3,coeff_feature_4,coeff_feature_5,coeff_feature_6,coeff_feature_7,coeff_feature_8,coeff_feature_9,coeff_feature_10
0.0,19.28429067471813,-11.591029193092975,-3.8798500199172588,4.029418352037093,-8.702697092457802,-10.646313781499899,-0.977085679951143,-6.950527356181988,-22.343957268791826,-1.6745018774406208
0.04,19.283333188075922,-11.59044198729607,-3.879673238658068,4.029303932148668,-8.702257777179613,-10.645722025319962,-0.9770716653439621,-6.950087912663929,-22.342794486537418,-1.6743410280982085
0.08,19.28237579627167,-11.589854841328519,-3.8794964732585484,4.029189515864428,-8.701818507420942,-10.645130334802204,-0.9770576480683479,-6.94964852255543,-22.34163182689198,-1.6741802017661112
0.12,19.281418499291306,-11.589267755181147,-3.8793197237166286,4.029075103184908,-8.70137928317456,-10.644538709935702,-0.9770436281254214,-6.949209185846975,-22.340469289835905,-1.6740193984399367
0.16,19.28046129712081,-11.588680728844759,-3.8791429900302314,4.028960694110639,-8.700940104433238,-10.643947150709538,-0.9770296055162992,-6.9487699025290555,-22.33930687534958,-1.6738586181152908
0.2,19.279504189746145,-11.588093762310164,-3.878966272197282,4.028846288642155,-8.700500971189744,-10.643355657112801,-0.9770155802421002,-6.948330672592164,-22.3381445834134,-1.6736978607877822
0.24,19.278547177153257,-11.587506855568192,-3.8787895702157087,4.0287318867799895,-8.70006188343686,-10.642764229134585,-0.9770015523039428,-6.94789149602679,-22.336982414007757,-1.67353712645302
0.28,19.27759025932814,-11.58692000860964,-3.8786128840834357,4.028617488524671,-8.699622841167349,-10.642172866763964,-0.9769875217029447,-6.947452372823435,-22.335820367113076,-1.6733764151066157
0.32,19.276633436256745,-11.58633322142534,-3.8784362137983877,4.0285030938767346,-8.699183844374,-10.641581569990043,-0.9769734884402232,-6.947013302972588,-22.334658442709735,-1.6732157267441794
0.36,19.275676707925065,-11.585746494006115,-3.8782595593584963,4.028388702836715,-8.698744893049575,-10.640990338801922,-0.9769594525168962,-6.946574286464753,-22.333496640778172,-1.6730550613613249
0.4,19.274720074319067,-11.585159826342778,-3.878082920761687,4.028274315405137,-8.698305987186876,-10.64039917318869,-0.9769454139340777,-6.946135323290441,-22.3323349612988,-1.6728944189536636
0.44,19.273763535424727,-11.584573218426158,-3.8779062980058865,4.028159931582536,-8.697867126778663,-10.639808073139447,-0.9769313726928855,-6.945696413440142,-22.331173404252024,-1.6727337995168123
